X, Y
3316, 4566
3319, 4556
3322, 4548
3327, 4540
3333, 4534
3339, 4530
3346, 4526
3353, 4522
3362, 4519
3369, 4516
3378, 4513
3386, 4510
3396, 4508
-1, -1
3448, 4509
3444, 4516
3441, 4522
3441, 4529
3448, 4532
3455, 4532
3463, 4532
3471, 4530
3479, 4527
3486, 4524
3492, 4521
3498, 4516
3501, 4508
3502, 4500
3502, 4492
3502, 4485
3500, 4478
3496, 4470
3488, 4469
3479, 4474
3471, 4479
3467, 4486
3463, 4496
3458, 4506
3454, 4517
3453, 4527
3453, 4535
3454, 4545
3454, 4553
3456, 4560
3459, 4565
3465, 4565
3470, 4561
3476, 4557
-1, -1
3578, 4516
3583, 4512
3589, 4507
3593, 4501
3597, 4495
3600, 4489
3604, 4483
3607, 4476
3609, 4468
3601, 4468
3593, 4471
3584, 4479
3573, 4489
3563, 4500
3555, 4514
3549, 4524
3545, 4537
3544, 4546
3544, 4555
3547, 4561
3552, 4565
3558, 4565
3565, 4566
3572, 4564
3580, 4559
3587, 4551
3596, 4542
3603, 4532
3610, 4524
3616, 4517
3620, 4512
3626, 4513
3629, 4523
3632, 4535
3632, 4545
3634, 4559
3636, 4572
3636, 4582
3637, 4589
3638, 4596
3630, 4591
3640, 4586
-1, -1
3723, 4511
3725, 4504
3728, 4496
3731, 4502
3730, 4509
3730, 4517
3730, 4528
3728, 4538
3728, 4550
3728, 4560
3728, 4570
3727, 4579
3727, 4586
3733, 4581
3738, 4573
3746, 4565
3752, 4554
3758, 4544
3766, 4534
3771, 4526
3775, 4521
3779, 4517
3782, 4521
3784, 4528
3784, 4536
3784, 4544
3787, 4554
3787, 4563
3787, 4571
3788, 4578
3790, 4585
3798, 4576
3807, 4567
3815, 4557
3827, 4544
3838, 4533
3848, 4523
3857, 4515
3863, 4511
3869, 4514
3872, 4521
3873, 4534
3875, 4546
3875, 4561
3875, 4575
3875, 4587
3877, 4596
3878, 4602
3879, 4593
3880, 4583
-1, -1
4098, 4520
4106, 4521
4115, 4522
4128, 4523
4140, 4524
4154, 4526
4171, 4528
4186, 4531
4203, 4534
4220, 4536
4234, 4537
4246, 4537
4256, 4536
4263, 4535
4269, 4532
4283, 4526
4278, 4521
-1, -1
4275, 4454
4267, 4455
4262, 4458
4261, 4466
4259, 4476
4257, 4488
4255, 4509
4252, 4522
4249, 4536
4247, 4554
4243, 4569
4238, 4582
4232, 4595
4226, 4606
4222, 4617
4219, 4626
4224, 4629
-1, -1
4368, 4552
4373, 4545
4378, 4541
4378, 4547
4375, 4556
4372, 4566
4372, 4576
4372, 4588
4373, 4598
4376, 4608
4381, 4615
4387, 4621
4394, 4624
4401, 4624
4408, 4623
4418, 4619
4425, 4615
4431, 4610
4437, 4603
4442, 4595
4445, 4585
4446, 4575
4448, 4565
4448, 4557
4444, 4550
4437, 4546
4429, 4547
